,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Upernavik,100,GL,1604937981,81,72.79,-56.15,-0.13,9.73
1,Albany,1,US,1604937967,81,42.6,-73.97,63.0,3.36
2,Palana,55,RU,1604938083,94,59.12,159.97,19.18,7.14
3,George Town,20,MY,1604937836,94,5.41,100.34,78.8,3.36
4,Busselton,57,AU,1604937962,69,-33.65,115.33,54.0,17.83
5,Ko Samui,84,TH,1604938083,80,9.54,99.94,81.57,12.17
6,Luangwa,34,ZM,1604938083,15,-15.62,30.42,97.48,5.46
7,Saint-Philippe,75,RE,1604938084,73,-21.36,55.77,75.2,6.93
8,Manokwari,65,ID,1604938084,77,-0.87,134.08,79.79,1.45
9,Tigre,90,AR,1604938084,72,-34.43,-58.58,71.01,10.29
10,Narsaq,75,GL,1604938084,86,60.92,-46.05,28.4,1.81
11,Alofi,40,NU,1604938084,94,-19.06,-169.92,71.6,9.17
12,Nelson Bay,0,AU,1604937813,93,-32.72,152.15,53.01,3.91
13,Thinadhoo,100,MV,1604938084,72,0.53,72.93,83.84,12.97
14,Lebu,9,CL,1604938085,75,-37.62,-73.65,57.69,18.52
15,Jamestown,1,US,1604937915,51,42.1,-79.24,64.99,6.93
16,Puerto Ayora,75,EC,1604938085,83,-0.74,-90.35,73.4,12.75
17,Los Llanos de Aridane,75,ES,1604938085,73,28.66,-17.92,71.6,4.7
18,Rikitea,46,PF,1604938085,76,-23.12,-134.97,73.6,17.58
19,Talnakh,40,RU,1604938085,92,69.49,88.4,15.8,6.71
20,Mataura,1,NZ,1604938086,95,-46.19,168.86,37.53,2.08
21,New Norfolk,99,AU,1604937962,63,-42.78,147.06,55.99,2.93
22,Bluff,2,NZ,1604937972,84,-46.6,168.33,45.54,6.93
23,Esperance,40,AU,1604937985,93,-33.87,121.9,57.2,17.22
24,Hirara,98,JP,1604938086,76,24.8,125.28,72.9,25.84
25,Thompson,90,CA,1604937841,85,55.74,-97.86,14.0,13.87
26,Manggar,90,ID,1604938086,75,-2.88,108.27,80.89,3.87
27,Harper,64,LR,1604938087,77,4.38,-7.72,81.34,8.32
28,Kapaa,75,US,1604937975,88,22.08,-159.32,77.0,17.22
29,Trairi,35,BR,1604937817,52,-3.28,-39.27,89.6,17.16
30,Atbasar,100,KZ,1604938087,93,51.8,68.33,35.47,10.51
31,Ghanzi,14,BW,1604938087,19,-21.57,21.78,93.6,3.15
32,Martapura,87,ID,1604938087,89,-3.42,114.85,74.71,1.25
33,Bambous Virieux,40,MU,1604937970,78,-20.34,57.76,73.99,10.29
34,Bathsheba,40,BB,1604938088,79,13.22,-59.52,86.0,13.87
35,Khandyga,0,RU,1604938088,86,62.67,135.6,-17.91,2.06
36,Punta Arenas,90,CL,1604937738,86,-53.15,-70.92,41.0,12.75
37,Kem',96,RU,1604938088,83,64.96,34.58,36.34,15.64
38,Murdochville,99,CA,1604938088,93,48.96,-65.5,37.4,5.82
39,Limoeiro do Ajuru,76,BR,1604938088,58,-1.9,-49.38,88.84,7.07
40,Wilmington,75,US,1604938067,83,34.23,-77.94,75.99,11.41
41,Castro,37,BR,1604937978,35,-24.79,-50.01,83.97,9.48
42,Kavieng,47,PG,1604937989,77,-2.57,150.8,81.03,5.23
43,Vaini,20,TO,1604937968,100,-21.2,-175.2,68.0,3.36
44,Airai,100,TL,1604938089,87,-8.93,125.41,62.06,2.33
45,Murgab,13,TM,1604938089,66,37.5,61.97,51.8,2.24
46,Broken Hill,23,AU,1604938089,26,-31.95,141.43,78.8,10.29
47,Petropavlovsk-Kamchatskiy,100,RU,1604938089,78,53.05,158.65,17.6,8.95
48,Saskylakh,100,RU,1604938089,93,71.92,114.08,6.24,28.88
49,Jaumave,20,MX,1604938089,83,23.42,-99.38,73.99,5.82
50,Dikson,100,RU,1604937973,94,73.51,80.55,5.79,10.04
